   1      2309508825 
   2      1698607566 
   3      1322600431 
   4      1034361489 
   5       872628904 
   6       724224401 
   7       615753594 
   8       537435038 
   9       472162759 
  10       421725172 
  11       383534113 
  12       340236737 
  13       319612246 
  14       296772011 
  15       275539023 
  16       252009778 
  17       238797274 
  18       235755783 
  19       225840564 
  20       214675196 
  21       211456949 
  22       198746407 
  23       198781618 
  24       192188314 
  25       188133481 
  26       188143834 
  27       183616412 
  28       175433364 
  29       175537259 
  30       176600442 
  31       176814649 
  32       174451872 
  33       173850608 
  34       170578384 
  35       162323828 
  36       168986428 
  37       167881464 
  38       169051276 
  39       161173082 
  40       164619893 
  41       166066888 
  42       169471849 
  43       161353042 
  44       168185098 
  45       171679714 
  46       171005942 
  47       168510807 
  48       161164510 
  49       170811770 
  50       168417507 
  51       171402849 
  52       176558660 
  53       173785802 
  54       176335355 
  55       178336168 
  56       179115492 
  57       171136649 
  58       173837084 
  59       181877375 
  60       174319283 
  61       181843764 
  62       184126628 
  63       181266062 
  64       148466637 
  65       187918044 
  66       184569186 
  67       182578955 
  68       187112618 
  69       190565620 
  70       190476190 
  71       187884238 
  72       192070928 
  73       195562013 
  74       192407689 
  75       177620879 
  76       192680269 
  77       191799930 
  78       194264911 
  79       193858420 
  80       187402785 
  81       195963159 
  82       199797206 
  83       206410704 
  84       194185126 
  85       195394550 
  86       212013984 
  87       209305131 
  88       220476538 
  89       226394420 
  90       219630581 
  91       216767156 
  92       219770318 
  93       232201872 
  94       232810983 
  95       232728627 
  96       181962428 
  97       220974270 
  98       229079986 
  99       243978385 
 100       233638036 
 101       244869449 
 102       249083373 
 103       248543689 
 104       247086846 
 105       237442272 
 106       248597444 
 107       245739869 
 108       254183220 
 109       256830652 
 110       254060200 
 111       243092526 
 112       236753634 
 113       235697507 
 114       238610808 
 115       243456350 
 116       212332258 
 117       254678443 
 118       285856601 
 119       306077630 
 120       281472099 
 121       242475162 
 122       255907628 
 123       236726662 
 124       251701502 
 125       256986829 
 126       247542062 
 127       246034160 
 128       151994163 
